step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,98.09027778,565,97.22222222,560,99.30555556,572,99.30555556,572,65.79861111,379,46.70138889,269
23850,6.402810958,6.220626123,6.326362995,6.156278663,6.413056794,,,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,,TRUE
23875,6.705700509,6.205957535,6.116344075,6.158294915,6.408730164,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23900,6.608211558,5.905169988,6.055821443,6.039750313,6.372939165,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23925,6.392384608,6.056748989,6.13077114,6.205249523,6.37623998,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23950,6.834253615,6.248479324,6.279029695,6.323188362,6.444342956,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23975,6.831909607,6.357147951,6.377120761,6.376169359,6.392574717,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24000,6.601138341,6.529243304,6.513709103,6.454658621,6.491512075,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24025,6.50610384,6.451503274,6.205396668,6.287156236,6.361152657,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24050,6.686195981,6.290351284,6.197802811,6.11788505,6.449094974,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24075,6.630337681,6.233561058,6.341470491,6.238635122,6.441872492,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24100,6.636981073,6.193377732,6.336019722,6.358869665,6.339114792,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24125,6.775116218,6.325359955,6.253097962,6.147526487,6.262286539,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24150,6.666466132,6.252448865,6.436649211,6.192563728,6.433572199,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24175,6.71569489,6.332742462,6.395288741,6.318444924,6.326495864,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24200,6.575278799,6.198884158,6.320428448,6.297497892,6.428113931,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24225,6.661557594,6.376417266,6.484707082,6.269409646,6.279118838,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24250,6.516184258,6.383429979,6.420682249,6.184647918,6.341019814,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24275,6.383868844,6.207941773,6.399570844,6.333957823,6.313704614,,,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE
24300,6.528656844,6.303674707,6.369990267,6.275603688,6.265434745,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24325,6.472450486,6.254127797,6.219794766,6.121531257,6.325246628,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24350,6.524573749,6.136740193,6.071564181,6.281031477,6.31002942,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24375,6.541653942,6.141489081,6.178239596,6.101099391,6.20102601,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24400,6.562205113,6.402353201,6.352127261,6.184338434,6.158379123,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24425,6.298311863,6.287556901,6.044179477,6.204170023,6.131672679,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
