step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,99.30555556,572,99.13194444,571,99.82638889,575,99.82638889,575,5.729166667,33,40.45138889,233
24725,47875,103025,73170,54795,75800,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24750,49055,108095,76375,51090,78065,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24775,47270,104390,78200,50305,78310,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24800,48430,94770,76350,50450,82190,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24825,49880,90610,76290,52175,85790,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24850,49460,92715,77505,53275,86480,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24875,50090,97360,81380,57185,89825,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24900,50980,87515,83030,55100,89415,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24925,50915,86955,84385,58620,87920,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24950,50500,88995,87720,61860,86175,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24975,51230,88990,84825,65645,81790,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25000,50080,87385,83705,67960,81055,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25025,50305,93345,87500,68890,82315,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25050,49125,92355,86010,67900,84640,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25075,51580,94215,83495,74235,86000,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25100,48635,100680,86665,74965,82045,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25125,48960,96330,86400,75400,82835,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25150,49465,99845,88830,76325,79620,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25175,51880,100285,87610,74445,81060,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25200,52365,102560,87235,71825,80055,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25225,51985,99525,82705,76690,81175,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25250,52800,102565,85700,80715,84535,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25275,53110,105325,87965,77110,82685,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25300,53175,104290,87725,79520,83775,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25325,53300,103855,86800,79460,87860,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25350,52730,108410,90660,81030,90415,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25375,54320,112590,90985,81165,93515,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25400,54215,118015,96555,74950,92035,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25425,56095,116265,94735,73995,88560,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25450,57990,122770,95520,75960,93490,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25475,58955,122345,98900,75180,94680,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25500,59705,119070,101265,74075,97430,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25525,60795,128025,104000,76260,102855,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25550,60765,127975,107730,79810,97125,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25575,61980,127685,101475,82455,93275,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25600,62815,126030,103625,84235,92350,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25625,64765,128620,108355,84455,94550,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25650,66815,130325,110480,88055,96565,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25675,68320,131790,110630,88515,96705,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25700,68980,135130,110385,91805,99065,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25725,71365,124990,100900,91695,98255,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25750,72715,127885,103880,93375,93735,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
