step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,89.58333333,516,87.5,504,89.93055556,518,91.66666667,528
23475,45000180.21,45063677.38,45911520.88,45719504.33,45642498.32,,,,TRUE,,TRUE,,TRUE,,TRUE
23500,45937186.64,46459543.23,46166292.22,48100041.39,46472322,,,,TRUE,,TRUE,,TRUE,,TRUE
23525,44923756.87,47128555.57,49010449.28,49332440.12,46134168.52,,,,TRUE,,TRUE,,TRUE,,TRUE
23550,45014234.07,47853399.38,48300587.27,47455308.32,46382712.22,,,,TRUE,,TRUE,,TRUE,,TRUE
23575,44849253.88,45026914.51,46479797.92,47312127.78,46024490.06,,,,TRUE,,TRUE,,TRUE,,TRUE
23600,45121293.27,45004724.73,46001011.12,46797000.83,47840603.94,,,,FALSE,,TRUE,,TRUE,,TRUE
23625,44333813.03,45521554.49,45701602.49,46767062.78,46286576.42,,,,TRUE,,TRUE,,TRUE,,TRUE
23650,44215648.8,46848669.26,45946154.94,45507306.03,46051292.94,,,,TRUE,,TRUE,,TRUE,,TRUE
23675,45495145.34,47431187.32,47521281.6,47622311.05,45706472.83,,,,TRUE,,TRUE,,TRUE,,TRUE
23700,43362484.66,46638524.13,46529631.19,44861549.03,47451396.3,,,,TRUE,,TRUE,,TRUE,,TRUE
23725,43009560.78,46461350.81,46489260.08,46705789.99,45711578.43,,,,TRUE,,TRUE,,TRUE,,TRUE
23750,44602459.85,45970853.51,47345169.76,46622983.96,45746341.95,,,,TRUE,,TRUE,,TRUE,,TRUE
23775,45208354.45,45373856.47,46326520.68,45967159.07,46177762.99,,,,TRUE,,TRUE,,TRUE,,TRUE
23800,45222940.53,46885011.27,45850635.86,46310157.52,45063156.77,,,,TRUE,,TRUE,,TRUE,,FALSE
23825,44195719.59,45953088.63,44767427.48,47151548.68,44438886.5,,,,TRUE,,TRUE,,TRUE,,TRUE
23850,44271054.46,45338960.3,46335771.3,44721697.16,46660680.84,,,,TRUE,,TRUE,,TRUE,,TRUE
23875,45572673.06,45087339.56,45380050.05,45677261.29,46054788.21,,,,FALSE,,FALSE,,TRUE,,TRUE
23900,44843120.18,44348906.68,44842667.93,45794074.48,46892972.05,,,,FALSE,,FALSE,,TRUE,,TRUE
23925,43396227.95,44750794.83,43890281.5,46603264.73,47669038.88,,,,TRUE,,TRUE,,TRUE,,TRUE
23950,44515334.36,45228122.78,45334162.4,46763216.97,48531290.64,,,,TRUE,,TRUE,,TRUE,,TRUE
23975,43893923.03,47826805.36,44997727.95,47641489.33,45261351.67,,,,TRUE,,TRUE,,TRUE,,TRUE
24000,43416885.34,47860840.04,45675896.8,46716279.51,46240305.82,,,,TRUE,,TRUE,,TRUE,,TRUE
24025,45105547.98,46751783.64,44029855.63,46576014.94,46905850.63,,,,TRUE,,FALSE,,TRUE,,TRUE
24050,43356789.04,46162528.87,44682925.78,45785123.01,47884623.25,,,,TRUE,,TRUE,,TRUE,,TRUE
24075,43420698.68,46421412.86,45905880.05,47649482.19,46242482.86,,,,TRUE,,TRUE,,TRUE,,TRUE
24100,42388846.39,45709866.28,43829441.7,44349366.65,45502358.27,,,,TRUE,,TRUE,,TRUE,,TRUE
24125,45925608.96,45823361.14,45683951.84,46298664.63,47196272.26,,,,FALSE,,FALSE,,TRUE,,TRUE
24150,45413668.38,47200105.48,46618753.4,46844718.02,45691539.38,,,,TRUE,,TRUE,,TRUE,,TRUE
24175,44535875.82,47898180.57,45093633.47,47027838.53,45548731.77,,,,TRUE,,TRUE,,TRUE,,TRUE
24200,45400580.91,46587685.49,45636048.85,45211825.76,46793084.65,,,,TRUE,,TRUE,,FALSE,,TRUE
24225,45886345.2,47061969.8,47473583.79,47106407.83,46359284.73,,,,TRUE,,TRUE,,TRUE,,TRUE
24250,43223504.73,47159072.92,46326088.61,46109269.56,45144317.64,,,,TRUE,,TRUE,,TRUE,,TRUE
24275,44441156.33,45877790.99,45679700.26,46789545.88,46744264.23,,,,TRUE,,TRUE,,TRUE,,TRUE
24300,44942083.6,47773370.14,46285786.42,48690334.89,46783190.71,,,,TRUE,,TRUE,,TRUE,,TRUE
24325,44518403.75,44857618,46376027.77,47708458.69,47715639.35,,,,TRUE,,TRUE,,TRUE,,TRUE
